id,team,season,games_played,wins,losses,ties,ots,points,regular_ot_wins,point_percent,goals_for,goals_allowed,shootout_win,goals_for_per_game,goals_allowed_per_game,pp_percent,pk_percent,shots_per_game,shots_allowed_per_game,faceoff_win_percent
136,Calgary Flames,2014-15,82,45,30,0,7,97,41,0.591,237,213,4,2.89,2.6,18.8,80.6,27.5,29.2,47.4
137,Buffalo Sabres,2014-15,82,23,51,0,8,54,15,0.329,153,269,8,1.87,3.28,13.4,75.1,24.2,35.6,44.9
138,San Jose Sharks,2014-15,82,40,33,0,9,89,36,0.543,224,226,4,2.73,2.76,21.6,78.5,31.6,29.7,51.9
139,Philadelphia Flyers,2014-15,82,33,31,0,18,84,30,0.512,212,223,3,2.59,2.72,23.4,77.1,29.4,30.3,51.1
140,Dallas Stars,2014-15,82,41,31,0,10,92,37,0.561,257,257,4,3.13,3.13,19,80.7,31.2,29.9,51.7
141,Washington Capitals,2014-15,82,45,26,0,11,101,40,0.616,237,199,5,2.89,2.43,25.3,81.2,29.5,28.9,51.2
142,Toronto Maple Leafs,2014-15,82,30,44,0,8,68,25,0.415,206,257,5,2.51,3.13,15.9,80.5,29.2,33.5,49
143,St. Louis Blues,2014-15,82,51,24,0,7,109,42,0.665,239,197,9,2.91,2.4,22.3,83.7,30.9,27.2,53.4
144,Carolina Hurricanes,2014-15,82,30,41,0,11,71,25,0.433,183,219,5,2.23,2.67,18.8,84.7,30.8,27.3,53
145,Winnipeg Jets,2014-15,82,43,26,0,13,99,36,0.604,223,204,7,2.72,2.49,17.8,81.8,29.7,28.7,48.9
146,Minnesota Wild,2014-15,82,46,28,0,8,100,42,0.61,227,198,4,2.77,2.41,15.8,86.3,30.8,27.6,49.9
147,Tampa Bay Lightning,2014-15,82,50,24,0,8,108,47,0.659,259,206,3,3.16,2.51,18.8,83.7,29.6,27.9,49.7
148,Pittsburgh Penguins,2014-15,82,43,27,0,12,98,39,0.598,217,204,4,2.65,2.49,19.3,84.8,31.6,29.3,49.1
149,Arizona Coyotes,2014-15,82,24,50,0,8,56,19,0.341,165,267,5,2.01,3.26,20,76.7,29.2,33.2,51.8
150,New York Islanders,2014-15,82,47,28,0,7,101,40,0.616,245,224,7,2.99,2.73,18.7,78,33.8,28.3,50.3
151,Detroit Red Wings,2014-15,82,43,25,0,14,100,39,0.61,231,211,4,2.82,2.57,23.8,80.9,29.6,28.3,51.5
152,Colorado Avalanche,2014-15,82,39,31,0,12,90,29,0.549,209,223,10,2.55,2.72,15,84.6,27.9,33.2,50.8
153,Dallas Stars,2013-14,82,40,31,0,11,91,36,0.555,231,223,4,2.82,2.72,15.9,81.4,31.7,30.4,50.1
154,Edmonton Oilers,2013-14,82,29,44,0,9,67,25,0.409,199,267,4,2.43,3.26,17,82.1,26.9,32.9,49
155,New York Islanders,2013-14,82,34,37,0,11,79,25,0.482,216,261,9,2.63,3.18,17.8,78.1,30.9,30,47.2
156,Florida Pathers,2013-14,82,29,45,0,8,66,21,0.402,188,262,8,2.29,3.2,10,75.9,29.9,31.1,48.3
157,Calgary Flames,2013-14,82,35,40,0,7,77,28,0.47,202,238,7,2.46,2.9,15.7,81.7,26.8,28.6,46.2
158,Columbus Blue Jackets,2013-14,82,43,32,0,7,93,38,0.567,226,214,5,2.76,2.61,19.3,82.1,29.6,30.8,51.5
159,Boston Bruins,2013-14,82,54,19,0,9,117,51,0.713,258,171,3,3.15,2.09,21.7,83.7,31.9,29.1,51.6
160,Nashville Predators,2013-14,82,38,32,0,12,88,36,0.537,214,233,2,2.61,2.84,19.2,80.3,29,28.9,53.1
161,Tampa Bay Lightning,2013-14,82,46,27,0,9,101,38,0.616,232,209,8,2.83,2.55,18.5,80.7,29.8,29.2,49.2
162,Montréal Canadiens,2013-14,82,46,28,0,8,100,40,0.61,209,201,6,2.55,2.45,17.2,85.1,28.4,31,49.6
163,Vancouver Canucks,2013-14,82,36,35,0,11,83,31,0.506,191,216,5,2.33,2.63,15.2,83.2,30.8,28.4,51.4
164,Arizona Coyotes,2013-14,82,37,30,0,15,89,31,0.543,210,224,6,2.56,2.73,19.9,79,30.5,31,52
165,Washington Capitals,2013-14,82,38,30,0,14,90,28,0.549,225,229,10,2.74,2.79,23.4,82,29.4,33.5,48.4
166,Pittsburgh Penguins,2013-14,82,51,24,0,7,109,44,0.665,242,204,7,2.95,2.49,23.4,85,29.9,28.8,51
167,Toronto Maple Leafs,2013-14,82,38,36,0,8,84,29,0.512,222,252,9,2.71,3.07,19.8,78.3,27.9,35.9,48.3
168,New York Rangers,2013-14,82,45,31,0,6,96,41,0.585,214,190,4,2.61,2.32,18.2,85.3,33.2,29.4,48.8
169,Detroit Red Wings,2013-14,82,39,28,0,15,93,34,0.567,217,221,5,2.65,2.7,17.7,83,30,29.3,50.7
170,Anaheim Ducks,2013-14,82,54,20,0,8,116,51,0.707,263,203,3,3.21,2.48,16,82.2,31.3,28.7,49.2
171,Colorado Avalanche,2013-14,82,52,22,0,8,112,47,0.683,245,216,5,2.99,2.63,19.8,80.7,29.5,32.7,49.5
172,Los Angeles Kings,2013-14,82,46,28,0,8,100,38,0.61,198,168,8,2.41,2.05,15.1,83.1,31.6,26.2,52.8
173,Winnipeg Jets,2013-14,82,37,35,0,10,84,29,0.512,219,231,8,2.67,2.82,15.4,83.2,30.7,30.1,46.9
174,Minnesota Wild,2013-14,82,43,27,0,12,98,35,0.598,199,198,8,2.43,2.41,17.8,78.8,26.6,27.7,50.9
175,Philadelphia Flyers,2013-14,82,42,30,0,10,94,39,0.573,233,227,3,2.84,2.77,19.7,84.8,30.4,30.6,50
176,San Jose Sharks,2013-14,82,51,22,0,9,111,41,0.677,239,193,10,2.91,2.35,17.2,84.9,34.8,27.8,52.8
177,Carolina Hurricanes,2013-14,82,36,35,0,11,83,34,0.506,205,226,2,2.5,2.76,14.6,81.7,31.2,30.9,52.6
178,Buffalo Sabres,2013-14,82,21,51,0,10,52,14,0.317,150,243,7,1.83,2.96,14.1,81.4,26.3,34.3,46.8
179,New Jersey Devils,2013-14,82,35,29,0,18,88,35,0.537,197,195,0,2.4,2.38,19.5,86.4,26.8,25.5,47
180,St. Louis Blues,2013-14,82,52,23,0,7,111,43,0.677,239,188,9,2.91,2.29,19.8,85.7,29.3,26.4,51.9
181,Ottawa Senators,2013-14,82,37,31,0,14,88,30,0.537,229,258,7,2.79,3.15,18.4,80.9,32.8,34.7,51.2
182,Chicago Blackhawks,2013-14,82,46,21,0,15,107,40,0.652,261,212,6,3.18,2.59,19.4,81.5,33.1,27.2,52
183,Anaheim Ducks,2012-13,48,30,12,0,6,66,24,0.688,134,115,6,2.79,2.4,21.5,81.5,28.1,27.9,47.5
184,Vancouver Canucks,2012-13,48,26,15,0,7,59,21,0.615,122,115,5,2.54,2.4,15.8,84,28.1,28.9,47.6
185,Montréal Canadiens,2012-13,48,29,14,0,5,63,26,0.656,146,124,3,3.04,2.58,20.7,79.8,30.6,26.9,49.8
186,Philadelphia Flyers,2012-13,48,23,22,0,3,49,22,0.51,132,139,1,2.75,2.9,21.6,85.9,29,28.6,48.5
187,Arizona Coyotes,2012-13,48,21,18,0,9,51,17,0.531,121,125,4,2.52,2.6,14.8,79.9,30.9,30.6,52
188,Pittsburgh Penguins,2012-13,48,36,12,0,0,72,33,0.75,162,119,3,3.38,2.48,24.7,79.6,30,29.2,51.5
189,New York Rangers,2012-13,48,26,18,0,4,56,22,0.583,126,108,4,2.63,2.25,15.7,81.1,30.9,28.2,50
190,Toronto Maple Leafs,2012-13,48,26,17,0,5,57,26,0.594,145,128,0,3.02,2.67,18.7,87.9,26.3,32.3,50
191,Washington Capitals,2012-13,48,27,18,0,3,57,24,0.594,146,130,3,3.04,2.71,26.8,77.9,28.1,32.3,50.8
192,Boston Bruins,2012-13,48,28,14,0,6,62,24,0.646,127,106,4,2.65,2.21,14.8,87.1,32.4,28.6,56.4
193,Columbus Blue Jackets,2012-13,48,24,17,0,7,55,19,0.573,115,115,5,2.4,2.4,14.2,82.6,26.7,29.9,52
194,Detroit Red Wings,2012-13,48,24,16,0,8,56,22,0.583,122,110,2,2.54,2.29,18.4,81.7,30.1,27.5,50.8
195,New Jersey Devils,2012-13,48,19,19,0,10,48,17,0.5,110,122,2,2.29,2.54,15.9,81.1,28.4,23.1,48.2
196,New York Islanders,2012-13,48,24,17,0,7,55,20,0.573,135,136,4,2.81,2.83,19.9,80.3,30.9,28.2,49.7
197,Buffalo Sabres,2012-13,48,21,21,0,6,48,14,0.5,118,139,7,2.46,2.9,14.1,79.2,27.9,33.5,46.2
198,San Jose Sharks,2012-13,48,25,16,0,7,57,17,0.594,116,112,8,2.42,2.33,20.1,85,31.8,29,53.4
